municipio_id,municipio_nome,uf,ano,populacao_estimada
2206209,Miguel Alves,PI,2024,33071
2206308,Miguel Leão,PI,2019,1246
2206308,Miguel Leão,PI,2020,1242
2206308,Miguel Leão,PI,2021,1239
2206308,Miguel Leão,PI,2024,1352
2206357,Milton Brandão,PI,2019,6613
2206357,Milton Brandão,PI,2020,6608
2206357,Milton Brandão,PI,2021,6603
2206357,Milton Brandão,PI,2024,6678
2206407,Monsenhor Gil,PI,2019,10564
2206407,Monsenhor Gil,PI,2020,10564
2206407,Monsenhor Gil,PI,2021,10563
2206407,Monsenhor Gil,PI,2024,10455
2206506,Monsenhor Hipólito,PI,2019,7749
2206506,Monsenhor Hipólito,PI,2020,7767
2206506,Monsenhor Hipólito,PI,2021,7785
2206506,Monsenhor Hipólito,PI,2024,7751
2206605,Monte Alegre do Piauí,PI,2019,10613
2206605,Monte Alegre do Piauí,PI,2020,10615
2206605,Monte Alegre do Piauí,PI,2021,10618
2206605,Monte Alegre do Piauí,PI,2024,10910
2206654,Morro Cabeça no Tempo,PI,2019,4532
2206654,Morro Cabeça no Tempo,PI,2020,4530
2206654,Morro Cabeça no Tempo,PI,2021,4527
2206654,Morro Cabeça no Tempo,PI,2024,4458
2206670,Morro do Chapéu do Piauí,PI,2019,6796
2206670,Morro do Chapéu do Piauí,PI,2020,6811
2206670,Morro do Chapéu do Piauí,PI,2021,6825
2206670,Morro do Chapéu do Piauí,PI,2024,6547
2206696,Murici dos Portelas,PI,2019,9159
2206696,Murici dos Portelas,PI,2020,9209
2206696,Murici dos Portelas,PI,2021,9258
2206696,Murici dos Portelas,PI,2024,10139
2206704,Nazaré do Piauí,PI,2019,7339
2206704,Nazaré do Piauí,PI,2020,7322
2206704,Nazaré do Piauí,PI,2021,7307
2206704,Nazaré do Piauí,PI,2024,6729
2206720,Nazária,PI,2019,8570
2206720,Nazária,PI,2020,8602
2206720,Nazária,PI,2021,8632
2206720,Nazária,PI,2024,10706
2206753,Nossa Senhora de Nazaré,PI,2019,4870
2206753,Nossa Senhora de Nazaré,PI,2020,4891
2206753,Nossa Senhora de Nazaré,PI,2021,4911
2206753,Nossa Senhora de Nazaré,PI,2024,5406
2206803,Nossa Senhora dos Remédios,PI,2019,8692
2206803,Nossa Senhora dos Remédios,PI,2020,8723
2206803,Nossa Senhora dos Remédios,PI,2021,8751
2206803,Nossa Senhora dos Remédios,PI,2024,8732
2206902,Novo Oriente do Piauí,PI,2019,6565
2206902,Novo Oriente do Piauí,PI,2020,6556
2206902,Novo Oriente do Piauí,PI,2021,6548
2206902,Novo Oriente do Piauí,PI,2024,6178
2206951,Novo Santo Antônio,PI,2019,2991
2206951,Novo Santo Antônio,PI,2020,3003
2206951,Novo Santo Antônio,PI,2021,3014
2206951,Novo Santo Antônio,PI,2024,2886
2207009,Oeiras,PI,2019,37029
2207009,Oeiras,PI,2020,37085
2207009,Oeiras,PI,2021,37138
2207009,Oeiras,PI,2024,39545
2207108,Olho D'Água do Piauí,PI,2019,2459
2207108,Olho D'Água do Piauí,PI,2020,2468
2207108,Olho D'Água do Piauí,PI,2021,2477
2207108,Olho D'Água do Piauí,PI,2024,2725
2207207,Padre Marcos,PI,2019,6868
2207207,Padre Marcos,PI,2020,6873
2207207,Padre Marcos,PI,2021,6879
2207207,Padre Marcos,PI,2024,6481
2207306,Paes Landim,PI,2019,4129
2207306,Paes Landim,PI,2020,4126
2207306,Paes Landim,PI,2021,4124
2207306,Paes Landim,PI,2024,4174
2207355,Pajeú do Piauí,PI,2019,3389
2207355,Pajeú do Piauí,PI,2020,3404
2207355,Pajeú do Piauí,PI,2021,3416
2207355,Pajeú do Piauí,PI,2024,3041
2207405,Palmeira do Piauí,PI,2019,5043
2207405,Palmeira do Piauí,PI,2020,5036
2207405,Palmeira do Piauí,PI,2021,5029
2207405,Palmeira do Piauí,PI,2024,5048
2207504,Palmeirais,PI,2019,14539
2207504,Palmeirais,PI,2020,14587
2207504,Palmeirais,PI,2021,14633
2207504,Palmeirais,PI,2024,13480
2207553,Paquetá,PI,2019,3945
2207553,Paquetá,PI,2020,3937
2207553,Paquetá,PI,2021,3931
2207553,Paquetá,PI,2024,3878
2207603,Parnaguá,PI,2019,10791
2207603,Parnaguá,PI,2020,10819
2207603,Parnaguá,PI,2021,10846
2207603,Parnaguá,PI,2024,10289
2207702,Parnaíba,PI,2019,153078
2207702,Parnaíba,PI,2020,153482
2207702,Parnaíba,PI,2021,153863
2207702,Parnaíba,PI,2024,169552
2207751,Passagem Franca do Piauí,PI,2019,4313
2207751,Passagem Franca do Piauí,PI,2020,4323
2207751,Passagem Franca do Piauí,PI,2021,4331
2207751,Passagem Franca do Piauí,PI,2024,4220
2207777,Patos do Piauí,PI,2019,6392
2207777,Patos do Piauí,PI,2020,6406
